"longitude","latitude","school_code","countyMatch","isSchool"
-122.8430877,41.6104164,6050751,1,1
-122.304111,41.2870149,106393,1,1
-122.304111,41.2870149,117168,1,1
-122.5251098,41.6451667,6050777,1,1
-123.3781107,41.7951241,6050785,1,1
-122.5619867,41.9110806,6050801,1,1
-122.1298132,41.2539831,6050850,1,1
-122.5215724,41.7277969,6050876,1,0
-122.306154,41.320291,6050884,1,1
-122.6426791,41.7288855,6069405,1,1
-122.379955,41.428016,6050942,1,1
-122.0017692,38.3521351,6051288,1,1
-122.0028246,38.3650842,122523,1,1
-121.819496,38.447942,6051031,1,1
-122.030175,38.258288,6051064,1,1
-122.2119868,38.0990808,6051379,1,1
-122.081147,38.271747,6109136,1,1
-122.2244835,38.0872177,6051387,1,1
-122.0378239,38.2767422,6051056,1,1
-122.0437371,38.2594791,6051072,1,1
-121.9825315,38.382929,6109672,1,1
0,0,4830113,0,0
-121.9431058,38.3429352,6109094,1,1
-121.9487583,38.3331953,6103154,1,1
-122.2222673,38.1080547,6051429,1,1
-121.9553446,38.2821953,6051254,1,1
-122.024943,38.265945,6051098,1,1
-121.9448491,38.3568376,6051395,1,1
-121.9448491,38.3568376,6110241,1,1
-122.1327746,38.1702632,113092,1,1
-122.013693,38.241772,6051106,1,1
-122.2588003,38.1500025,6051411,0,1
-121.995008,38.249451,6109128,1,1
-122.050522,38.265747,112664,1,1
0,0,6051486,0,0
-121.8324192,38.4485629,108712,1,1
-121.8324192,38.4485629,122267,1,1
-122.063628,38.244815,6051148,1,1
-121.9781267,38.3705492,6051296,1,1
-121.9904534,38.3524112,6051304,1,1
-121.9053661,38.3512635,6093405,1,1
-122.2443414,38.1474619,6071302,0,1
-121.9849761,38.3402457,6051320,1,1
-121.9676935,38.3454946,6051338,1,1
-122.052369,38.251309,6051163,1,1
-122.1702625,38.0629724,6050991,1,1
-122.2624684,38.1122597,6051437,0,1
-122.268177,38.1227639,6051445,0,1
-121.9655097,38.3256494,6111652,1,1
-122.2081482,38.0750043,6107684,1,1
-122.23716,38.0799972,6099667,1,1
-121.829844,38.46073,6120240,1,1
-121.829844,38.46073,248001,1,1
-122.0028246,38.3650842,6051346,1,1
-122.2341614,38.1147394,6051478,1,1
-122.1704823,38.0820324,6106462,1,1
-122.0599242,38.2674833,6051197,1,1
-122.2083033,38.1189964,6110134,1,1
-121.9903477,38.3523835,129494,1,1
-122.0159625,38.2823416,6111405,1,1
-122.2539549,38.1042365,6051494,0,1
-122.2439025,38.1507459,6051502,0,1
-122.2737,38.0957321,6051510,0,1
-122.159605,38.085388,6111165,1,1
0,0,6051007,0,0
-122.146055,38.218426,6115752,1,1
-122.143456,38.1917721,6106405,1,1
-122.0034737,38.3773041,6097950,1,1
-122.013841,38.267713,6067144,1,1
-122.1469486,38.0590832,6051015,1,1
-122.041925,38.290823,113084,1,1
-121.9452857,38.2754328,6068290,1,1
-121.9565097,38.3383484,6097943,1,1
-122.0412339,38.2478121,6069538,1,1
-122.2244091,38.1005432,6051544,1,1
-122.0100348,38.2489395,6100754,1,1
-122.116672,38.288719,6051221,1,1
-121.997423,38.262484,6051239,1,1
-121.9562656,38.270413,6051270,1,1
-121.7492367,38.4954676,6110282,1,1
-121.9624264,38.3555677,6051361,1,0
-122.214073,38.108908,115469,1,1
-122.7366721,38.4409471,6052153,1,1
-122.755566,38.449804,6108500,1,1
-122.786907,38.65649,6051577,1,1
-122.8514267,38.3892046,6093140,1,1
-122.6374525,38.4650966,6117907,1,1
-122.7097108,38.3995827,6051585,1,1
-122.6269967,38.2556883,6051908,1,1
-122.6269967,38.2556883,127555,1,1
-122.6631526,38.4738692,6085229,1,1
-122.8376691,38.4017323,6052211,1,1
-122.6923698,38.4375835,6052104,1,1
-122.7156669,38.4344216,6052112,1,1
-122.8262457,38.5502144,6052369,1,1
-122.798108,38.5121881,107284,1,0
-122.7470371,38.4565753,128074,1,0
-122.6553449,38.2440398,6051932,1,1
-122.6644769,38.2537401,6051635,1,1
-122.665602,38.258198,125724,1,1
-122.64811,38.275301,6114409,1,1
-122.6901705,38.3403493,6100853,1,1
-122.6971797,38.4416376,6052120,1,1
-122.5264054,38.3873482,6052252,1,1
-122.7579629,38.3209603,122440,1,1
-122.7579629,38.3209603,6051700,1,1
-122.485529,38.3068527,6052260,1,1
-122.6898242,38.3574508,6097059,1,1
0,0,6051783,0,0
-122.4877375,38.3194896,6052278,1,1
-122.889562,38.481329,6051718,1,1
0,0,6117378,0,0
-123.265264,38.557012,6051726,1,1
-122.7144314,38.4463006,6052138,1,1
-122.9121064,38.7104413,6051734,1,1
-122.778595,38.3510031,6105332,1,0
-122.630152,38.2205975,6051940,1,1
-122.8204433,38.3965372,6051742,1,1
-122.9974065,38.5022368,6119465,1,0
-122.9963676,38.5111968,6051767,1,1
-122.6944605,38.3649534,6099246,1,1
-122.9316509,38.3891981,6051775,1,1
-122.8613715,38.6133537,124230,1,1
-122.8608574,38.6131628,6051791,1,1
-122.7436657,38.4491135,6066385,1,1
